gender,age,home,income,motivation,workday,wkendday,hobby
남자,20,전라도,300만원 미만,자기만족-즐거움을 위해,10,10,헬스
남자,20,서울특별시,300만원 이상 500만원 미만,자기만족-즐거움을 위해,3,0,헬스
남자,20,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,3,5,헬스
남자,60,경상도,300만원 미만,건강 관리를 위해,2,2,헬스
남자,20,제주특별자치도,300만원 미만,자기만족-즐거움을 위해,4,6,헬스
남자,40,경상도,700만원 이상,자기만족-즐거움을 위해,5,1,헬스
남자,30,경상도,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,5,16,헬스
여자,30,경상도,300만원 미만,마음의 안정-휴식을 위해,2,6,헬스
남자,30,경기도,300만원 미만,건강 관리를 위해,2,4,헬스
남자,20,서울특별시,300만원 이상 500만원 미만,스트레스 해소를 위해,3,9,헬스
남자,20,충청도,300만원 이상 500만원 미만,대인 관계-교제를 위해,3,15,헬스
남자,30,대구광역시,300만원 이상 500만원 미만,자기만족-즐거움을 위해,3,10,헬스
남자,40,경기도,700만원 이상,건강 관리를 위해,2,5,헬스
남자,40,경기도,300만원 미만,가족-지인 등과 시간을 보내기 위해,2,6,헬스
남자,40,경기도,500만원 이상 700만원 미만,자기만족-즐거움을 위해,2,8,헬스
남자,20,경기도,무응답,스트레스 해소를 위해,16,16,헬스
여자,20,경상도,300만원 미만,스트레스 해소를 위해,4,8,헬스
남자,40,경상도,500만원 이상 700만원 미만,가족-지인 등과 시간을 보내기 위해,2,5,헬스
여자,30,경기도,700만원 이상,건강 관리를 위해,1,5,헬스
여자,30,경기도,300만원 이상 500만원 미만,스트레스 해소를 위해,4,8,헬스
여자,40,서울특별시,700만원 이상,건강 관리를 위해,2,0,헬스
남자,50,경기도,700만원 이상,건강 관리를 위해,2,5,헬스
남자,50,강원도,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,1,4,헬스
남자,20,서울특별시,300만원 미만,자기만족-즐거움을 위해,3,5,헬스
남자,20,경기도,300만원 이상 500만원 미만,자기 계발을 위해,3,8,헬스
남자,20,서울특별시,700만원 이상,스트레스 해소를 위해,1,1,헬스
남자,20,강원도,300만원 미만,남는 시간을 보내기 위해,3,7,헬스
남자,60,인천광역시,300만원 이상 500만원 미만,남는 시간을 보내기 위해,3,4,헬스
남자,20,인천광역시,700만원 이상,마음의 안정-휴식을 위해,5,9,헬스
여자,60,서울특별시,300만원 이상 500만원 미만,자기만족-즐거움을 위해,5,3,헬스
남자,30,전라도,300만원 미만,마음의 안정-휴식을 위해,5,3,헬스
남자,20,대전광역시,500만원 이상 700만원 미만,스트레스 해소를 위해,1,3,헬스
남자,40,경기도,500만원 이상 700만원 미만,건강 관리를 위해,3,5,헬스
남자,40,세종특별자치시,700만원 이상,자기만족-즐거움을 위해,2,4,헬스
남자,20,광주광역시,500만원 이상 700만원 미만,건강 관리를 위해,2,5,헬스
여자,40,경기도,700만원 이상,자기 계발을 위해,1,3,헬스
남자,40,경기도,700만원 이상,자기 계발을 위해,6,6,헬스
여자,60,충청도,300만원 미만,건강 관리를 위해,4,6,헬스
남자,30,서울특별시,300만원 미만,마음의 안정-휴식을 위해,1,2,헬스
여자,20,부산광역시,무응답,자기만족-즐거움을 위해,4,10,헬스
여자,50,인천광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,3,3,헬스
여자,30,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,8,17,헬스
여자,30,경상도,300만원 미만,스트레스 해소를 위해,6,0,헬스
여자,40,강원도,300만원 미만,마음의 안정-휴식을 위해,5,6,헬스
여자,20,대구광역시,700만원 이상,대인 관계-교제를 위해,5,8,헬스
남자,30,제주특별자치도,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,6,6,헬스
여자,60,경상도,500만원 이상 700만원 미만,건강 관리를 위해,3,3,헬스
여자,20,서울특별시,무응답,자기 계발을 위해,9,12,헬스
여자,50,서울특별시,700만원 이상,자기만족-즐거움을 위해,3,5,헬스
남자,40,인천광역시,700만원 이상,자기만족-즐거움을 위해,3,10,헬스
남자,40,경기도,500만원 이상 700만원 미만,자기만족-즐거움을 위해,2,4,헬스
남자,50,부산광역시,500만원 이상 700만원 미만,건강 관리를 위해,6,12,헬스
여자,50,경기도,300만원 미만,남는 시간을 보내기 위해,3,1,헬스
남자,40,광주광역시,500만원 이상 700만원 미만,대인 관계-교제를 위해,1,4,헬스
남자,30,인천광역시,300만원 미만,자기 계발을 위해,3,8,헬스
남자,40,서울특별시,500만원 이상 700만원 미만,가족-지인 등과 시간을 보내기 위해,1,1,헬스
여자,30,서울특별시,700만원 이상,건강 관리를 위해,4,6,헬스
남자,20,경기도,300만원 이상 500만원 미만,마음의 안정-휴식을 위해,2,10,헬스
남자,20,서울특별시,500만원 이상 700만원 미만,스트레스 해소를 위해,3,8,헬스
남자,60,서울특별시,300만원 이상 500만원 미만,건강 관리를 위해,2,2,헬스
남자,40,울산광역시,무응답,자기만족-즐거움을 위해,1,1,헬스
남자,30,경상도,500만원 이상 700만원 미만,건강 관리를 위해,1,8,헬스
여자,30,인천광역시,500만원 이상 700만원 미만,건강 관리를 위해,2,5,헬스
남자,30,울산광역시,500만원 이상 700만원 미만,건강 관리를 위해,2,2,헬스
남자,40,대전광역시,300만원 이상 500만원 미만,건강 관리를 위해,2,1,헬스
남자,30,경기도,500만원 이상 700만원 미만,자기만족-즐거움을 위해,3,3,헬스
남자,50,경상도,300만원 미만,건강 관리를 위해,2,2,헬스
남자,20,경기도,300만원 이상 500만원 미만,자기만족-즐거움을 위해,5,5,헬스
남자,40,충청도,300만원 이상 500만원 미만,스트레스 해소를 위해,3,6,헬스
여자,60,경기도,500만원 이상 700만원 미만,건강 관리를 위해,2,1,헬스
남자,50,서울특별시,500만원 이상 700만원 미만,건강 관리를 위해,1,4,헬스
남자,20,경기도,300만원 이상 500만원 미만,자기 계발을 위해,1,5,헬스
남자,20,경기도,무응답,대인 관계-교제를 위해,7,3,헬스
남자,20,경상도,300만원 이상 500만원 미만,자기만족-즐거움을 위해,2,4,헬스
여자,30,서울특별시,300만원 미만,자기만족-즐거움을 위해,3,6,헬스
남자,50,서울특별시,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,2,10,헬스
여자,30,경기도,무응답,스트레스 해소를 위해,2,5,헬스
여자,40,대구광역시,300만원 이상 500만원 미만,건강 관리를 위해,3,5,헬스
남자,30,대구광역시,500만원 이상 700만원 미만,가족-지인 등과 시간을 보내기 위해,1,2,헬스
남자,60,전라도,500만원 이상 700만원 미만,대인 관계-교제를 위해,2,5,헬스
남자,40,울산광역시,500만원 이상 700만원 미만,건강 관리를 위해,1,3,헬스
여자,30,경기도,300만원 이상 500만원 미만,건강 관리를 위해,3,6,헬스
남자,50,인천광역시,700만원 이상,건강 관리를 위해,5,10,헬스
여자,20,경기도,300만원 미만,건강 관리를 위해,2,0,헬스
남자,40,경기도,500만원 이상 700만원 미만,가족-지인 등과 시간을 보내기 위해,2,6,헬스
여자,40,경상도,700만원 이상,자기 계발을 위해,2,1,헬스
여자,20,경기도,무응답,가족-지인 등과 시간을 보내기 위해,3,5,헬스
여자,50,경상도,500만원 이상 700만원 미만,자기 계발을 위해,3,1,헬스
남자,40,경상도,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,2,4,헬스
